GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final-project,ru.sberstart.finalproject.bankaccount.infrastructure.repository,BankAccountRepositoryImpl,330,98,4,0,77,5,12,1,10,1
final-project,ru.sberstart.finalproject.bank,BankMapper,5,0,0,0,1,0,1,0,1,0
final-project,ru.sberstart.finalproject.jooq.tables.records,UserrolesRecord,102,0,2,0,35,0,20,0,19,0
final-project,ru.sberstart.finalproject.jooq.tables.records,UsersRecord,277,0,2,0,90,0,50,0,49,0
final-project,ru.sberstart.finalproject.jooq.tables.records,DatabasechangeloglockRecord,172,0,2,0,57,0,32,0,31,0
final-project,ru.sberstart.finalproject.jooq.tables.records,BankaccountsRecord,277,0,2,0,90,0,50,0,49,0
final-project,ru.sberstart.finalproject.jooq.tables.records,DatabasechangelogRecord,518,0,2,0,166,0,91,0,90,0
final-project,ru.sberstart.finalproject.jooq.tables.records,CardsecretsRecord,207,0,2,0,68,0,38,0,37,0
final-project,ru.sberstart.finalproject.jooq.tables.records,BanksRecord,137,0,2,0,46,0,26,0,25,0
final-project,ru.sberstart.finalproject.jooq.tables.records,RolesRecord,102,0,2,0,35,0,20,0,19,0
final-project,ru.sberstart.finalproject.jooq.tables.records,CardsRecord,207,0,2,0,68,0,38,0,37,0
final-project,ru.sberstart.finalproject.bankaccount.infrastructure.configuration,BankAccountConfiguration,0,61,0,0,0,12,0,12,0,12
final-project,ru.sberstart.finalproject.card.infrastructure.repository,CardSecretRepositoryImpl,80,19,0,0,21,4,3,1,3,1
final-project,ru.sberstart.finalproject.card.infrastructure.repository,CardRepositoryImpl,234,52,0,0,60,10,7,1,7,1
final-project,ru.sberstart.finalproject.bankaccount.domain.entity.enums,BankAccountStates,27,0,0,0,5,0,1,0,1,0
final-project,ru.sberstart.finalproject.bank.infrastructure.configuration,BankConfiguration,0,18,0,0,0,4,0,4,0,4
final-project,ru.sberstart.finalproject.bankaccount.api.dto.request,BankAccountStateRequestDTO,15,0,0,0,1,0,3,0,3,0
